,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.9473682045936584,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096,0.0029239875730127096
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.002631603740155697,0.002631603507325053,0.002631603740155697,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.9526311159133911,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.002631603507325053,0.002631603740155697,0.002631603507325053,0.002631603740155697
2,"Hello, sir. Have you eaten yet?",0.010526490397751331,0.010526491329073906,0.010526491329073906,0.010526490397751331,0.010526490397751331,0.010526490397751331,0.010526490397751331,0.010526490397751331,0.010526490397751331,0.010526490397751331,0.010526490397751331,0.010526491329073906,0.010526490397751331,0.010526490397751331,0.010526491329073906,0.010526490397751331,0.010526490397751331,0.8105231523513794,0.010526491329073906
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.006578986998647451,0.006578986998647451,0.006578987464308739,0.006578986998647451,0.006578987464308739,0.006578986998647451,0.006578986998647451,0.006578986998647451,0.006578987464308739,0.006578986998647451,0.006578986998647451,0.006578986998647451,0.006578987464308739,0.8815782070159912,0.006578986998647451,0.006578986998647451,0.006578986998647451,0.006578986998647451,0.006578986998647451
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.005847983527928591,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.8947362899780273,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.002193001564592123,0.002193001564592123,0.0021930017974227667,0.0021930017974227667,0.0021930017974227667,0.9605259895324707,0.002193001564592123,0.002193001564592123,0.0021930017974227667,0.002193001564592123,0.002193001564592123,0.002193001564592123,0.0021930017974227667,0.0021930017974227667,0.002193001564592123,0.002193001564592123,0.002193001564592123,0.002193001564592123,0.002193001564592123
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005847984924912453,0.005847984924912453,0.005847984924912453,0.005847984924912453,0.005847984924912453,0.005847984924912453,0.005847984924912453,0.005847984924912453,0.005847984924912453,0.005847984924912453,0.00584798539057374,0.005847984924912453,0.8947362303733826,0.005847984924912453,0.005847984924912453,0.00584798539057374,0.005847984924912453,0.005847984924912453,0.005847984924912453
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.0032894902396947145,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.003289490006864071,0.9407891631126404,0.003289490006864071
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.0058479830622673035,0.005847982596606016,0.005847982596606016,0.8947362899780273,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016,0.005847982596606016
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.006578975822776556,0.006578975822776556,0.006578975822776556,0.8815783858299255,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578976288437843,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556,0.006578975822776556
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.8947362899780273,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165,0.005847984459251165
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490705356002,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.003289490472525358,0.9407891631126404,0.003289490472525358
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0021930013317614794,0.0021930013317614794,0.002193001564592123,0.002193001564592123,0.002193001564592123,0.9605259895324707,0.0021930013317614794,0.0021930013317614794,0.002193001564592123,0.0021930013317614794,0.0021930013317614794,0.0021930013317614794,0.002193001564592123,0.002193001564592123,0.0021930013317614794,0.0021930013317614794,0.0021930013317614794,0.0021930013317614794,0.0021930013317614794
