,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.006579011213034391,0.006579011678695679,0.006579011213034391,0.006579011213034391,0.006579011213034391,0.006579011678695679,0.006579011213034391,0.006579011213034391,0.006579011213034391,0.006579011213034391,0.8815777897834778,0.006579011213034391,0.006579011213034391,0.006579011213034391,0.006579011213034391,0.006579011678695679,0.006579011678695679,0.006579011213034391,0.006579011213034391
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.005847999360412359,0.005847998894751072,0.005847998894751072,0.005847998894751072,0.005847998894751072,0.32506778836250305,0.005847998894751072,0.005847998894751072,0.5755161643028259,0.005847998894751072,0.005847999360412359,0.005847998894751072,0.005847999360412359,0.005847998894751072,0.005847998894751072,0.005847998894751072,0.005847998894751072,0.005847999360412359,0.005847998894751072
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.9271251559257507,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689,0.004048602189868689
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0032894883770495653,0.003289490472525358,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.9407892227172852,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653,0.0032894883770495653
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.9473681449890137,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239917639642954,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517,0.0029239915311336517
5,"No, he is not here. I am taking his place.",0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.6842093467712402,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392683506012,0.01754392869770527
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.0058479709550738335,0.005847970489412546,0.8947365283966064,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546,0.005847970489412546
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005847986787557602,0.005847987253218889,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847987253218889,0.005847987253218889,0.8947362303733826,0.005847987253218889,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847986787557602,0.005847986787557602
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.004048604052513838,0.004048604052513838,0.927125096321106,0.004048604052513838,0.004048604052513838,0.004048604052513838,0.004048604052513838,0.004048604518175125,0.004048604052513838,0.004048604052513838,0.004048604052513838,0.004048604518175125,0.004048604052513838,0.004048604052513838,0.004048604052513838,0.004048604518175125,0.004048604052513838,0.004048604052513838,0.004048604052513838
9,Can you explain to me why we are setting up two individual aid stations?,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.8646610975265503,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518825586885214,0.007518826052546501,0.007518825586885214
