,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.006250059697777033,0.8812488913536072,0.006250059697777033
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.005555575247853994,0.8944441080093384,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994,0.005555575247853994
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.0038461624644696712,0.9269229173660278
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.940624475479126,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125027986243367,0.003125028219074011
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.27793726325035095,0.0027777948416769505,0.0027777948416769505,0.6720623970031738,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505
5,"No, he is not here. I am taking his place.",0.01666676066815853,0.01666676066815853,0.6833315491676331,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.8944441676139832,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983,0.005555571988224983
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.8944438695907593,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.9269227981567383,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245,0.0038461696822196245
9,Can you explain to me why we are setting up two individual aid stations?,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.8642850518226624,0.007142892573028803,0.007142892573028803,0.007142892573028803,0.007142892573028803
