,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.8802075386047363,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736,0.005208367481827736
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.6271236538887024,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.27102357149124146,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054,0.004629670176655054
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.9262818098068237,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.003205140121281147,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033,0.0032051398884505033
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.9401038885116577,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385,0.0026041793171316385
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.9467589855194092,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753,0.0023148241452872753
5,"No, he is not here. I am taking his place.",0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.6805543303489685,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652,0.013888944871723652
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.8935180902481079,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126,0.0046296496875584126
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.8935180306434631,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136,0.004629652481526136
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526,0.926281750202179,0.0032051417510956526,0.0032051417510956526,0.0032051417510956526
9,Can you explain to me why we are setting up two individual aid stations?,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.863093376159668,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817,0.005952460691332817
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.9201382994651794,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314,0.003472249023616314
11,It won't take long.,0.7604150772094727,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196,0.010416737757623196
12,Why does it have to be in private? We don't have a ton of time. ,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.010416761040687561,0.7604145407676697,0.010416761040687561,0.010416761040687561,0.010416761040687561
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.005952401552349329,0.8630947470664978,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329,0.005952401552349329
