,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.004464311525225639,0.8794635534286499,0.004464311525225639,0.004464311525225639,0.004464311525225639
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.8928561210632324,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159,0.003968291915953159
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.9258236289024353,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337,0.0027472723741084337
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.9397318363189697,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577,0.0022321543656289577
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.9464284181594849,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397,0.001984134316444397
5,"No, he is not here. I am taking his place.",0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.6785703897476196,0.011904798448085785,0.011904798448085785,0.011904798448085785,0.011904798448085785
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.8928568959236145,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346,0.003968263044953346
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.34182560443878174,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.3027878701686859,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.003968292381614447,0.25617918372154236,0.003968292381614447
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.9258239269256592,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383,0.0027472611982375383
9,Can you explain to me why we are setting up two individual aid stations?,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.8622440099716187,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009,0.005102074239403009
