,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.879165530204773,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689,0.004166706465184689
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.8925917744636536,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348,0.0037037294823676348
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.9256406426429749,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968,0.002564114285632968
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.9395829439163208,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347,0.0020833462476730347
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.9462960958480835,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514,0.0018518579890951514
5,"No, he is not here. I am taking his place.",0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.6777766346931458,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563,0.011111151427030563
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.892592191696167,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.892592191696167,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372,0.003703715279698372
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.18598414957523346,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.7422206997871399,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497,0.0025641131214797497
9,Can you explain to me why we are setting up two individual aid stations?,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.8619042634963989,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325,0.004761922638863325
