,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.9467589855194092,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372,0.0023148255422711372
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.9520831108093262,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306,0.0020833408925682306
2,"Hello, sir. Have you eaten yet?",0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.8083328008651733,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149,0.0083333570510149
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.8802077174186707,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564,0.005208359099924564
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.004629646427929401,0.8935181498527527,0.004629646427929401,0.004629646427929401,0.004629646427929401
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.9600691795349121,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423,0.0017361222999170423
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.004629669710993767,0.8935176134109497
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.9401040077209473,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.004629649221897125,0.004629649221897125,0.8935180902481079,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125,0.004629649221897125
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.8802077770233154,0.005208357237279415,0.005208357237279415,0.005208357237279415,0.005208357237279415
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.0046296692453324795,0.8935176730155945
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.9401040077209473,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964,0.0026041753590106964
