,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.879999577999115,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347,0.005000016186386347
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.004444459453225136,0.8933329582214355,0.004444459453225136,0.004444459453225136
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.0030769335571676493,0.9261536002159119
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.9399996399879456,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394,0.0025000148452818394
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.9466664791107178,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735,0.0022222313564270735
5,"No, he is not here. I am taking his place.",0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.6799983382225037,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773,0.013333401642739773
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.8933329582214355,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423,0.004444459918886423
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.8933326601982117,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893,0.004444472026079893
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.9261534810066223,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097,0.0030769386794418097
9,Can you explain to me why we are setting up two individual aid stations?,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.8628564476966858,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617,0.005714314989745617
