,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0034722406417131424,0.003472241573035717,0.0034722406417131424,0.0034722406417131424,0.9479163885116577,0.0034722404088824987,0.0034722406417131424,0.003472242271527648,0.0034722404088824987,0.0034722406417131424,0.0034722485579550266,0.0034722404088824987,0.0034722404088824987,0.0034722406417131424,0.0034722411073744297,0.0034722406417131424
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.003125028917565942,0.0031250284519046545,0.003125031478703022,0.003125028917565942,0.003125028917565942,0.0031250284519046545,0.0031250291503965855,0.9531245827674866,0.0031250310130417347,0.003125028917565942,0.0031250284519046545,0.0031250291503965855,0.003125028917565942,0.0031250303145498037,0.0031250310130417347,0.003125028917565942
2,"Hello, sir. Have you eaten yet?",0.012500137090682983,0.01250013243407011,0.01250013243407011,0.01250013243407011,0.012500135228037834,0.012500137090682983,0.012500133365392685,0.012500133365392685,0.012500150129199028,0.012500137090682983,0.01250013243407011,0.01250013243407011,0.012500133365392685,0.01250013243407011,0.8124980330467224,0.01250013243407011
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.007812554016709328,0.007812559604644775,0.007812554016709328,0.007812559604644775,0.007812554948031902,0.007812556810677052,0.007812557741999626,0.0078125586733222,0.007812554016709328,0.0078125586733222,0.007812557741999626,0.007812555879354477,0.007812554948031902,0.007812557741999626,0.007812554016709328,0.8828116059303284
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.006944478955119848,0.006944479886442423,0.006944478955119848,0.0069444808177649975,0.006944482214748859,0.0069444808177649975,0.006944478955119848,0.0069444808177649975,0.006944481749087572,0.006944482214748859,0.006944478955119848,0.006944482214748859,0.006944482214748859,0.8958328366279602,0.006944479886442423,0.006944478955119848
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.002604190493002534,0.002604200504720211,0.0026041909586638212,0.0026041909586638212,0.002604190493002534,0.0026041909586638212,0.0026041914243251085,0.002604191889986396,0.002604190493002534,0.0026041914243251085,0.0026041914243251085,0.0026041909586638212,0.002604191191494465,0.002604190493002534,0.0026041909586638212,0.9609371423721313
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.0069444975815713406,0.006944501772522926,0.8958325386047363,0.006944498047232628,0.006944498047232628,0.006944504100829363,0.0069444989785552025,0.006944499909877777,0.0069444989785552025,0.006944498047232628,0.006944501772522926,0.006944504100829363,0.006944503169506788,0.0069444989785552025,0.0069445050321519375,0.0069444989785552025
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.003906273748725653,0.00390627421438694,0.003906274680048227,0.9414058923721313,0.00390627421438694,0.00390627421438694,0.00390627421438694,0.003906273748725653,0.00390627421438694,0.003906275145709515,0.003906273748725653,0.003906276077032089,0.00390627421438694,0.003906278870999813,0.003906274680048227,0.003906274680048227
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.0069444673135876656,0.006944465916603804,0.006944466847926378,0.006944464985281229,0.006944465916603804,0.006944465916603804,0.006944465916603804,0.006944469176232815,0.006944466847926378,0.006944464985281229,0.006944465916603804,0.8958330154418945,0.006944472435861826,0.006944465916603804,0.006944466847926378,0.006944465916603804
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.00781254656612873,0.00781254842877388,0.007812545634806156,0.007812547497451305,0.007812545634806156,0.00781255029141903,0.007812549360096455,0.007812549360096455,0.007812545634806156,0.8828117847442627,0.007812551222741604,0.007812545634806156,0.007812549360096455,0.007812545634806156,0.007812545634806156,0.007812549360096455
