id,turk_response_text,prompt_type,assignment,identifier,comment
1,"I don't see the reason for having two aid stations, so could you explain to me its purpose?",feedback,30LB5CDZNCA6SFA0DKTGI57FBE00Z5a,10a,
2,Why do you need to set up two aid station?,feedback,30LB5CDZNCA6SFA0DKTGI57FBE00Z5b,10b,
3,I am fine; I have nothing to ask.,feedback,30LB5CDZNCA6SFA0DKTGI57FBE00Z5c,10c,
4,can I talk with you in private as soon as you're finished with what these others want to know?,feedback,30LB5CDZNCA6SFA0DKTGI57FBE00Z5d,10d,
5,Could you explain why your plan involves setting up two aid stations?,feedback,30ZX6P7VF8VNOA8AALU8DZC4PEDJ2Ta,10a,
6,I don't quite understand why you are setting up two stations; could you please explain it to me?,feedback,30ZX6P7VF8VNOA8AALU8DZC4PEDJ2Tb,10b,
7,"At this point, I have no questions.",feedback,30ZX6P7VF8VNOA8AALU8DZC4PEDJ2Tc,10c,
8,"When you are done here, could we please confer in private?",feedback,30ZX6P7VF8VNOA8AALU8DZC4PEDJ2Td,10d,
9,"Let him know of your problems,and ask him why you're setting up two aid stations.",feedback,31EUONYN2V3AMCX9E86ON0Q1L6FOVOa,10a,
10,"Be polite, and ask him to explain why he's setting up two aid stations.",feedback,31EUONYN2V3AMCX9E86ON0Q1L6FOVOb,10b,
11,Let him know that you don't have any questions.,feedback,31EUONYN2V3AMCX9E86ON0Q1L6FOVOc,10c,
12,"Ask him if you can talk to him privately, as soon he's done with other questions.",feedback,31EUONYN2V3AMCX9E86ON0Q1L6FOVOd,10d,
13,"I disagree with the plan you set up. In particular, I want to know why you need to set up two aid stations.",feedback,320DUZ38G7MD34GH90FXF365ZXIJGCa,10a,
14,Why are you setting up the two aid stations?,feedback,320DUZ38G7MD34GH90FXF365ZXIJGCb,10b,
15,That is all the questions I have at this time.,feedback,320DUZ38G7MD34GH90FXF365ZXIJGCc,10c,
16,"Once you are done answering everyone else's questions, can we please speak privately?",feedback,320DUZ38G7MD34GH90FXF365ZXIJGCd,10d,
17,"Excuse me sir, but I don't fully understand the plan, why are we setting up two aid stations? ",feedback,34Z02EIMISDA63117S4YWH6YQIK0TVa,10a,
18,"What is the reasoning behind two aid stations, sir?",feedback,34Z02EIMISDA63117S4YWH6YQIK0TVb,10b,
19,"I have no further questions, sir. ",feedback,34Z02EIMISDA63117S4YWH6YQIK0TVc,10c,
20,"I would request to speak with you once you're done with questions, sir.",feedback,34Z02EIMISDA63117S4YWH6YQIK0TVd,10d,
21,Why are you setting up two aid stations? I have quite a few disputes with that.,feedback,358UUM7WRZ3B8ZOTO2KCBHF3ABR7RNa,10a,
