,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0022222332190722227,0.9466664791107178,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227,0.0022222332190722227
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.9519997835159302,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234,0.0020000103395432234
2,"Hello, sir. Have you eaten yet?",0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.8079990148544312,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894,0.008000041358172894
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.8799992799758911,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914,0.0050000292249023914
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.004444458056241274,0.8933330178260803,0.004444458056241274
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.9599998593330383,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752,0.0016666741576045752
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.8933328986167908,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.9399996399879456,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.8933330774307251,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975,0.004444454330950975
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.8799991607666016,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414,0.005000035744160414
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.8933328986167908,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572,0.004444461781531572
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.9399996399879456,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414,0.002500015776604414
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.9599998593330383,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315,0.0016666739247739315
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.9261530041694641,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456,0.0030769575387239456
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.9199997186660767,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955,0.0033333448227494955
15,I don't have any questions right now.,0.7599990367889404,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329,0.01000003982335329
16,"No, he is not here. I am taking his place.",0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.6799991130828857,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661,0.013333369046449661
17,Can you explain to me why we are setting up two individual aid stations?,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.8628562092781067,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363,0.005714324302971363
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.8399993181228638,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439,0.006666695233434439
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.002222232986241579,0.9466664791107178,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579,0.002222232986241579
