,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.947089672088623,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.8807783126831055,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.0023809734266251326,0.07398317754268646,0.0023809734266251326,0.0023809734266251326
2,"Hello, sir. Have you eaten yet?",0.00952385738492012,0.00952385738492012,0.809522807598114,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012,0.00952385738492012
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.8809518218040466,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064,0.005952407605946064
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.005291036330163479,0.8941792845726013,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479,0.005291036330163479
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.9603173136711121,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328,0.001984135014936328
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.89417964220047,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865,0.0052910177037119865
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.9404759407043457,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574,0.0029762028716504574
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.8941795825958252,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998,0.005291020963340998
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.8809517025947571,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374,0.005952414590865374
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.89417964220047,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274,0.005291018169373274
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.9404759407043457,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101,0.002976203104481101
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.9603173136711121,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843,0.0019841347821056843
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.9267393946647644,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637,0.0036630299873650074,0.0036630297545343637,0.0036630297545343637,0.0036630297545343637
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.9206342697143555,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.003968286328017712,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385,0.00396828493103385
15,I don't have any questions right now.,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.7619030475616455,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814,0.011904848739504814
16,"No, he is not here. I am taking his place.",0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.6825386881828308,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458,0.01587306708097458
17,Can you explain to me why we are setting up two individual aid stations?,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.8639447093009949,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197,0.006802763789892197
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.8412695527076721
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.947089672088623,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592,0.0026455156039446592
20,I’d rather not say.,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.6825385689735413,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027,0.015873072668910027
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.005291036795824766,0.8941792249679565,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766
22,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.9319724440574646,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087,0.003401378635317087
23,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.007936520501971245,0.8412695527076721
