,data,labels
0,,10
1, Captain Wang,10
2, Captain ,10
3, Commander,10
4, How are you doing on this beautiful day?,0
5, Captain Wang How are you doing on this beautiful day?,0
6, Captain  How are you doing on this beautiful day?,0
7, Commander How are you doing on this beautiful day?,0
8, How are you doing this evening?,0
9, Captain Wang How are you doing this evening?,0
10, Captain  How are you doing this evening?,0
11, Commander How are you doing this evening?,0
12, How are you today?,0
13, Captain Wang How are you today?,0
14, Captain  How are you today?,0
15, Commander How are you today?,0
16, How are you doing this fine day?,0
17, Captain Wang How are you doing this fine day?,0
18, Captain  How are you doing this fine day?,0
19, Commander How are you doing this fine day?,0
20, How are you?,0
21, Captain Wang How are you?,0
22, Captain  How are you?,0
23, Commander How are you?,0
24, How are you doing today sir?,0
25, Captain Wang How are you doing today sir?,0
26, Captain  How are you doing today sir?,0
27, Commander How are you doing today sir?,0
28, I trust you are doing well today?,0
29, Captain Wang I trust you are doing well today?,0
30, Captain  I trust you are doing well today?,0
31, Commander I trust you are doing well today?,0
32, How are you and your soldiers faring today?,0
33, Captain Wang How are you and your soldiers faring today?,0
34, Captain  How are you and your soldiers faring today?,0
35, Commander How are you and your soldiers faring today?,0
36, How was your trip?,0
37, Captain Wang How was your trip?,0
38, Captain  How was your trip?,0
39, Commander How was your trip?,0
40, I hope you are well.,0
41, Captain Wang I hope you are well.,0
42, Captain  I hope you are well.,0
43, Commander I hope you are well.,0
44, how are you feeling today?,0
45, Captain Wang how are you feeling today?,0
46, Captain  how are you feeling today?,0
47, Commander how are you feeling today?,0
48, How have you been?,0
49, Captain Wang How have you been?,0
50, Captain  How have you been?,0
51, Commander How have you been?,0
52, I hope all is well with your company.,0
53, Captain Wang I hope all is well with your company.,0
54, Captain  I hope all is well with your company.,0
55, Commander I hope all is well with your company.,0
56, Is everything alright?,0
57, Captain Wang Is everything alright?,0
58, Captain  Is everything alright?,0
59, Commander Is everything alright?,0
60, How was your travel to get here?,0
61, Captain Wang How was your travel to get here?,0
62, Captain  How was your travel to get here?,0
63, Commander How was your travel to get here?,0
64, Is everything going well for you so far?,0
65, Captain Wang Is everything going well for you so far?,0
66, Captain  Is everything going well for you so far?,0
67, Commander Is everything going well for you so far?,0
68, How are you fairing?,0
69, Captain Wang How are you fairing?,0
70, Captain  How are you fairing?,0
71, Commander How are you fairing?,0
72, hope you are doing good,0
73, Captain Wang hope you are doing good,0
74, Captain  hope you are doing good,0
75, Commander hope you are doing good,0
76," How are you fairing this morning,",0
77," Captain Wang How are you fairing this morning,",0
78," Captain  How are you fairing this morning,",0
79," Commander How are you fairing this morning,",0
80," How are you fairing this morning,",0
81," Captain Wang How are you fairing this morning,",0
82," Captain  How are you fairing this morning,",0
83," Commander How are you fairing this morning,",0
84, It is nice to see you this morning.,11
85, Captain Wang It is nice to see you this morning.,11
86, Captain  It is nice to see you this morning.,11
87, Commander It is nice to see you this morning.,11
88, How are you doing on this beautiful day? It is nice to see you this morning.,1
89, Captain Wang How are you doing on this beautiful day? It is nice to see you this morning.,1
90, Captain  How are you doing on this beautiful day? It is nice to see you this morning.,1
91, Commander How are you doing on this beautiful day? It is nice to see you this morning.,1
92, How are you doing this evening? It is nice to see you this morning.,1
93, Captain Wang How are you doing this evening? It is nice to see you this morning.,1
94, Captain  How are you doing this evening? It is nice to see you this morning.,1
95, Commander How are you doing this evening? It is nice to see you this morning.,1
96, How are you today? It is nice to see you this morning.,1
97, Captain Wang How are you today? It is nice to see you this morning.,1
98, Captain  How are you today? It is nice to see you this morning.,1
99, Commander How are you today? It is nice to see you this morning.,1
100, How are you doing this fine day? It is nice to see you this morning.,1
101, Captain Wang How are you doing this fine day? It is nice to see you this morning.,1
