,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.9463599920272827,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.9517237544059753,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405,0.0017241527093574405
2,"Hello, sir. Have you eaten yet?",0.8068962097167969,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618,0.00689656613394618
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.8793097734451294,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563,0.004310365300625563
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.8927200436592102,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234,0.0038314282428473234
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.9597699046134949,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706,0.0014367890544235706
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.8927199840545654
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.9396547675132751,0.002155187539756298,0.002155187539756298,0.002155187539756298
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.46739262342453003,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.42915868759155273,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894,0.0038314349949359894
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.8793097138404846,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999,0.004310367628931999
10,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.00383143057115376,0.8927199840545654
11,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.002155187539756298,0.9396547675132751,0.002155187539756298,0.002155187539756298,0.002155187539756298
12,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.9597699046134949,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488,0.0014367889380082488
13,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.9257288575172424,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434,0.00265254033729434
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.9195398688316345,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793,0.0028735767118632793
15,I don't have any questions right now.,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.008620722219347954,0.7586197853088379,0.008620722219347954,0.008620722219347954
16,"No, he is not here. I am taking his place.",0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.6781594753265381,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819,0.011494303122162819
17,Can you explain to me why we are setting up two individual aid stations?,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.8620681166648865,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261,0.004926139488816261
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.0057471380569040775,0.8390801548957825,0.0057471380569040775,0.0057471380569040775
