,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.879309892654419,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839,0.004310362506657839
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.43930885195732117,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.003831450594589114,0.4572420120239258,0.003831450594589114,0.003831450594589114,0.003831450594589114
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.9257290959358215,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387,0.002652533119544387
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.9396549463272095,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345,0.002155180322006345
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0019157157512381673,0.9463599920272827,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673,0.0019157157512381673
5,"No, he is not here. I am taking his place.",0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.6781600117683411,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752,0.011494283564388752
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.892720103263855,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956,0.003831425216048956
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.8927196264266968,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299,0.003831441979855299
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.002652527531608939,0.9257292747497559
9,Can you explain to me why we are setting up two individual aid stations?,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.004926125984638929,0.8620685338973999,0.004926125984638929,0.004926125984638929,0.004926125984638929
