,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.00595240481197834,0.8809518814086914,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834,0.00595240481197834
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.8941792249679565,0.005291036795824766,0.005291036795824766,0.005291036795824766,0.005291036795824766
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.926739513874054,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767,0.003663022303953767
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.9404757618904114,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726,0.0029762114863842726
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.002645515138283372,0.947089672088623,0.002645515138283372
5,"No, he is not here. I am taking his place.",0.015873031690716743,0.6825393438339233,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743,0.015873031690716743
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.8941794633865356,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835,0.0052910251542925835
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042849421501,0.894179105758667,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.6904147863388062,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.003663030918687582,0.23998764157295227,0.003663030918687582
9,Can you explain to me why we are setting up two individual aid stations?,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.8639445304870605,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923,0.00680277356877923
