"","topic","document"
"1",1,"hello sir uh there problem want discuss someth go open convers potenti increas salari"
"2",1,"appreci uh support um thank consider wouldnt go head"
"3",1,"compani havent consid feel that way excel career might consid futur yeah definit understand um hope can work togeth come conclus"
"4",1,"thank appreci i’ll keep work hard thank"
"5",1,"sir just want discuss someth hope open convers potenti increas salari"
"6",1,"sir just want discuss someth hope open convers potenti increas salari now whenev conveni know you’r busi lot thing compani talk quarter work deserv pay rais go long way understand appreci feedback go long way least tri know your busi take minut busi schedul talk higher up realli appreci just put seed mind economi get better mind thank sir time appreci"
"7",1,"thank much realli appreci let know convers goe great okay know im still new cultur chines compani like now correct way employe seek rais can’t direct"
"8",1,"maam problem just wonder open convers increas salari"
"9",1,"maam problem just wonder open convers increas salari"
"10",1,"maam problem just wonder open convers increas salari"
"11",1,"oh know actual im realli happi work ive love work like past ten year uh just hope talk someth um know ive work past ten year um won numer award um ive increas compani product actual earn highest product last year think ive realli benefici compani hope ten year time get rais"
"12",1,"rais salari yes absolut yeah um basic just start famili uh three year ago kid go preschool uh ive work realli hard compani everyth ive ever done better compani havent cut corner ive true compani valu ive work everi singl day im never sick um want send kid realli good preschool mean theyr just go preschool id say within next six month reason time frame order get rais understand will make adjust within compani understand cant just pull money nowher uh order get rais youll give money just take money somewher els cours happi happen period time"
"13",1,"yeah go ask youd will um lobbi case realli appreci yeah well think import discuss need discuss now can discuss later hear back decis upper manag made okay"
"14",1,"yeah understand your say just seen past ten year hate see let go away think realli like keep work need get rais dont see potenti get rais anytim soon might leav go seek employ place im just worri im go abl send kid good school work taken prioriti life now kid prioriti life understand econom standpoint cant necessarili divert fund give rais peopl just famili reason know work far superior peer deep love compani know hate go hope hate see go realli need rais think within next six month dont hear im go come back talk obvious think proceed point may consid employ option"
"15",1,"thank much"
"16",1,"think work fine kind actual well want come talk hope convers potenti increas salari"
"17",1,"thing submit paperwork hr hope will get back there noth can now like near futur just wait"
"18",1,"um havent realli consid work compani realli like job im im honest just bank salari rais realli like work hope work im benefit compani"
"19",1,"sound good thank"
"20",1,"um want actual discuss someth hope open convers potenti increas saleri"
"21",1,"definit wouldnt say urgent appreci just get get talk just think like rais salari consid ive work past three year mayb like fourth year work expect expect appreci ah higher rais rais um understand long process"
"22",1,"definit think consid way open discuss possibl rais come back next year year tri know discuss higher salari futur compani go much better will much experienc"
"23",1,"cool thank"
"24",1,"hi sir actual want discuss someth hope open convers potenti increas salari"
"25",1,"hi sir actual want discuss someth hope open convers potenti increas salari"
"26",1,"hi sir actual want discuss someth hope open convers potenti increas salari"
