,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27
0,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.9465018510818481,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932,0.0020576217211782932
1,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.0018518624128773808,0.9518515467643738,0.0018518624128773808
2,"Hello, sir. Have you eaten yet?",0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.8074066638946533,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904,0.007407435681670904
3,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.7191839218139648,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.16507433354854584,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629,0.004629671107977629
4,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.004115244839340448,0.8930036425590515,0.004115244839340448,0.004115244839340448,0.004115244839340448
5,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.9598761796951294,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422,0.0015432228101417422
6,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.8930037021636963,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012,0.004115242511034012
7,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.9398145079612732,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865,0.0023148274049162865
8,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.004115239251405001,0.8930037617683411,0.004115239251405001
9,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.8796288371086121,0.004629659466445446,0.004629659466445446,0.004629659466445446,0.004629659466445446
