Unlabeled Text,ID,Section,Beni,Me,Vaibhav,Sodiq,Michael,User 6,User 7 ,User 8,Mode,Agreement,,,Fleiss's Kappa ,
I have the basic supplies for a humanitarian aid mission and I will elaborate on the exact supplies I have at our meeting this afternoon.,308XBLVESI4YABRJ1JWSGJ1ZT7IBRP,5,2,2,,,3,,,,2,0.1666666667,3,,Rated Items,86
Let's wait for the brief.,30ZX6P7VF8VNOA8AALU8DZC4PKB2JM,5,3,3,3,,,,,,3,-0.5,3,,Raters (n),3
I apologize but I prefer to wait for our scheduled meeting to discuss the supplies we have for the mission.,32SCWG5HIH47SMU9S0BV08FSEOJP6Q,5,2,2,1,,,,,,2,0.3333333333,3,,Items (N),29
"I can give you full details at the briefing this afternoon, as of now I know that we will have some basic supplies. When we meet this afternoon I will have full details for you.",35LDD5557A486YIL2OD4TNQFAESKMU,5,2,2,2,,,,,,2,1,3,,Probability of a 0,0
"I would prefer to wait until the meeting, but I have some things that you need and can use.",386PBUZZXFXTPWUIKRCDSVBDVK2JLS,5,2,2,2,,,,,,2,1,3,,Probability of a 1,0.09302325581
"I would just say that food, water & medical equipment would be included but I prefer go into all the details after the brief.",3BEFOD78W6TNSWTIHWQOM61JDS24MO,5,1,1,2,,,,,,1,0.3333333333,3,,Probability of a 2,0.2441860465
"We have brought what is needed to help the people here - food, water, equipment for your hospital.",3BF51CHDTVAK1UA67YN9IY3AFUNH0C,5,1,1,2,,,,,,1,0.3333333333,3,,Check that probabilities add to 1,0.3372093023
I have with me some basic supplies to help in the mission.,3C2NJ6JBKAHJ70ZVPJM066TLY4IN2D,5,2,2,1,,,,,,2,0.3333333333,3,,P bar (Mean 'agreement),0.1609195402
"If we wait until the meeting, I will have time to inventory the supplies so I will have the information you want,",3C6FJU71TQTM3BCBF55HT5MKLF7UYU,5,2,2,1,,,,,,2,0.3333333333,3,,P e bar,0.06828015143
"I do know that we will have at least a basic loadout for a humanitarian aid mission, but I would prefer to wait until the brief to give a more detailed explanation.",3CP1TO84PT1FHBTPLJQECPTZ7JG523,5,2,2,2,,,,,,2,1,3,,Kappa,0.09942837317
"I think it would be best to wait until out meeting later, I would like to be informed fully before I give wrong information to you. Please be assured that we will discuss fully about all supplies and intentions at our later brief.",3D8YOU6S9EKKKR259MAPAE2RM5B6U3,5,2,2,1,,,,,,2,0.3333333333,3,,,
I have some basics for aid missions but I will go into further detail when we brief on the mission later this afternoon.,3HL8HNGX451IJS7DC4I28OSQ2J49FI,5,2,2,2,,,,,,2,1,3,,,
I would rather wait until we get briefed. I will know then what we need to do.,3IAS3U3I0FGH6RAYMTHRFBTRHF22B1,5,3,3,3,,,,,,3,-0.5,3,,User Sums,
"We are here on a mission of peace and humanitarian aid. We have basic essentials such as: food, water and medical equipment.",3IRIK4HM3AKOYXL5NVPPG8GLF546CT,5,1,1,1,,,,,,1,1,3,,Beni,0.1085470085
"Why don't we wait until our meeting this afternoon, I can assure that you will be pleased with the supplies.",3IRIK4HM3AKOYXL5NVPPG8GLF54C6Z,5,2,2,2,,,,,,2,1,3,,Martin,0.1444444444
"I would prefer to wait until the brief to give a detailed summary of our supplies; however, the supplies are primarily for humanitarian aid purposes.",3JBT3HLQF829GWEKU586X68NJSFZPQ,5,2,2,2,,,,,,2,1,3,,Vaibhav,0.09508547009
I have brought some supplies to fulfill the basic needs of the soldiers to provide first aid and nutrition. I will further list the items supplied at the meeting this afternoon to ensure that I can provide a full inventory.,3JZQSN0I3QAXY2ULQAOC05ED6WZFGF,5,1,1,1,,,,,,1,1,3,,Sodiq,0.1269230769
"I am not at liberty to discuss any of this until my whole team here, I am sure you can understand that.",3LJ7UR74RHDTAEEITX5OZLQJIIC4NO,5,3,3,3,,,,,,3,-0.5,3,,Michael,0.1382478632
I would ask the Commander to provide the information regarding his platoon and supplies initially.  If he is also reluctant then I would suggest we meet in the middle and wait until the end of our meeting to reveal what each party will be able to supply.,3M81GAB8A0JYYACJO47SBTRUXLGBQO,5,2,3,3,,,,,,3,-0.3333333333,3,,6,0.009188034188
I have brought some basic humanitarian provisions.,3MYYFCXHJ37N0MXW6TST91HMH6Q4GG,5,2,2,2,,,,,,2,1,3,,7,0
"I have brought some basic supplies, but I would like to wait until we have the meeting to get into specific details.",3ND9UOO81K2FVGUHRQVSHL5LXGCLWQ,5,2,2,2,,,,,,2,1,3,,8,0
I assure you that I have the basic supplies in bulk for survival.,3NXNZ5RS1AX54ZS7ULKQKWF94VL79C,5,2,2,2,,,,,,2,1,3,,Percent Labeled,0.007051282051
"Sorry I am not permitted to speak about the mission, until everyone is present for the briefing.",3OJSZ2ATDSWM3CQVRV798GA7IZ257J,5,3,3,1,,,,,,3,-0.3333333333,3,,Total Questions ,4680
"I would say to the Chinese commander, I don't currently have the list of supplies with me, but I glanced at the list and it witch mostly consisted of humanitarian aid. Sorry I can't help further, I will have the complete list of supplies for the mission this afternoon at the briefing.",3RKNTXVS3MYMQVKTKT0JDF6JJBDA4A,5,2,2,1,,,,,,2,0.3333333333,3,,,
He has point so you should tell him the basic information. You could also ask him some information you want. Trust is the key.,3SB4CE2TJVVDOX83442OAQ3HC6HXAB,5,e,e,e,,,,,,#N/A,-0.5,3,,,
"Sir, I can tell you that we have all the basic supplies needed to complete this mission, but I will have a more precise allotment at the 1600hrs briefing, where our quartermaster will be present with inventories and specifics to answer your questions.",3UWN2HHPUY5CCZGTJY16XO6PWYHSNL,5,2,2,1,,,,,,2,0.3333333333,3,,,
"I understand your concern and need for information on the types of supplies, however, in order for me to give you adequate information, I would appreciate a little more patience; a least until the meeting would have conclude. After the brief, I assure you that I will have most of the necessary utilities-needed. Thank you.",3VFJCI1K4ZZU1SZUH5O6HUSW9KARGM,5,2,2,1,,,,,,2,0.3333333333,3,,,
"Sir, what I can tell is is that we have compliments for humanitarian aid.  I wll relay the specifics later this afternoon during the brief.  At this time I wll have accurate and up to day information, which will be of assistance to both of us.",3WZ36BJEV3GBQQ4B581NGY2HHSFBT2,5,2,2,1,,,,,,2,0.3333333333,3,,,
"Sir, I can tell you that we do have some help coming for you. However, I cannot talk about anything more specific at this point. After our meeting, I would love to go into details with you.",3ZR9AIQJUB9QPIMBSR3QO9U6AP1049,5,3,3,1,,,,,,3,-0.3333333333,3,,,
"Sir, we do not have enough men to carry out this mission. We need your help. I implore you to stay and help these refugees.",30BXRYBRP4XD9KBR05GUPTCEHSWWHA,7,2,,1,,1,,,,1,0.3333333333,3,,,
"Captain, I do understand that your supplies are running late, So why don't you and your team help us in supplying aid to the refuges as i am running low on man power and i could use all the help i could get. At end our goal is to help the refuges right ?",30MVJZJNHMDYOUT9VU9NNMKIWJB9JY,7,2,,1,,2,,,,2,0.3333333333,3,,,
"Hello, sir. We want to work with you and understand there is delay in receiving your equipment. We are willing to wait out the delay with you and will start the mission when you are ready,.",30X31N5D63Q5SGM4AUW1BIMPYKISAO,7,1,,1,,1,,,,1,1,3,,,
"sir without your hep we will not be able to complete our mission, and neither of us will be the  better for a failure while many can benefit if we are successful. but this is only possibe with your help.",30ZX6P7VF8VNOA8AALU8DZC4QDCJ2R,7,e,,1,,1,,,,1,0.1666666667,3,,,
"Captain, we are in this together, and harm will come to all if you cannot help us. What do we need to do to work together?",3137ONMDKG55SOUPVZ46INTDVODGEE,7,2,,2,,1,,,,2,0.3333333333,3,,,
I don't have enough men to complete the mission. Can your men help so that we can help the refugees we're serving?,317HQ483I7SNILDXEM7STM02OTYNIU,7,3,,3,,1,,,,3,-0.3333333333,3,,,
What can we offer you in return for continuing to help us?,31IBVUNM9SZGGZKGF5NY06HNU48VFS,7,3,,3,,2,,,,3,-0.3333333333,3,,,
The refugees are our joint priority here so let's make do with the equipment we have for the time being.,31T4R4OBOSG72XZA65UHMMGHB9E7C6,7,3,,2,,1,,,,#N/A,-0.1666666667,3,,,
We're willing to share our supplies until your own arrive.  You can't do the mission without our supplies and we can't do it without your men.  Let's combine our resources and get this done!,320DUZ38G7MD34GH90FXF3650WGGJ6,7,1,,1,,2,,,,1,0.3333333333,3,,,
"Commander, We need your help to complete this mission. My army does not have enough people to serve all the refuges. Please have your men stay so we can carry out this mission together.",34HJIJKLP5W6IJNRVORF92KW5E44VI,7,2,,1,,1,,,,1,0.3333333333,3,,,
Without your men we will not be able to complete the mission and we will fail. Were counting on you,36AHBNMV1RC0M91PTAFSJ5IW081YD0,7,3,,1,,1,,,,1,0.1666666667,3,,,
There is a lot you can do to contribute to the success of this humanitarian mission. The presence of your troops would be a great boost for morale for us and the refugees. And there is a lot you can do in a support role w/o that equipment. We'll share our resources and I'll request additional equipment from our side to help us out.,373ERPL3YO8Y6XL015NDGD7L077RT7,7,1,,1,,1,,,,1,1,3,,,
Hey you guys can use our stuff until your stuff gets here. These refugees are really hungry and we need your help to get it to them as soon as possible.,37KGEN7NJ3QF2SCE7WA46869AMYPP8,7,2,,1,,2,,,,2,0.3333333333,3,,,
It would be beneficial for everyone if you could still help out with this.,37M28K1J0QDCTD3EN0NNJHV221ZAJK,7,3,,3,,2,,,,3,-0.3333333333,3,,,
"You don't have the man power sir, my men should help so we can both provide goods to the refugees.",37TRT2X24QRHCN86TENJESF8KJ9JBD,7,3,,e,,3,,,,3,-0.5,3,,,
I understand your point of view but i would greatly appreciate your assistance regarding this mission.  Your team consists of experts and we greatly value your input.,38JBBYETQOAPG8150Y259YWA5J8E4T,7,1,,1,,1,,,,1,1,3,,,
"Sir, these refugees need our help, all of our help. They've been through a lot and would benefit greatly from your assistance.",39JEC7537U19DN06O3XXS0WKXRLVCM,7,2,,2,,1,,,,2,0.3333333333,3,,,
I dont have enough soldiers to help me so i kindly request for your help from your men,39O5D9O87TSP1EYN4TRR954167UC38,7,3,,1,,2,,,,#N/A,-0.1666666667,3,,,
"You need to talk to your captain that you need help, not to the Chinese commander. He will not listen to you but will listen or offer help if your commander asking.",3ATTHHXXWAOSUFR1GSU1ROR0Q7GIXH,7,e,,e,,3,,,,#N/A,-0.5,3,,,
"Sir, we do not have enough men to do this alone. Your men can still help us even though the planes are delayed.",3C6FJU71TQTM3BCBF55HT5MKM8PYU3,7,2,,1,,2,,,,2,0.3333333333,3,,,
we understand the problem of plane being delayed but we have crisis in hand and your men staying away will not resolve the plane problem,3DH6GAKTYYP3PA6LLS4PAX1ZOQAZYZ,7,3,,1,,3,,,,3,-0.3333333333,3,,,
"Yes sir, I understand we have a slight delay in supplies but the men and ready and willing to help the refugees. Right now we still have everything we need to accomplish the mission and save lives. Sir, with your help, we can make a difference.",3FIUS151DV23C2QG1UUUIQEP84VGGY,7,1,,2,,1,,,,1,0.3333333333,3,,,
"Commander, if we don't get help from your platoons we won't be able to complete our mission nor help these refugees.",3GNA64GUZE4W9UVANUGF87R2OIFQ5A,7,2,,1,,2,,,,2,0.3333333333,3,,,
We can not do this mission successfully without you and Im sure the plane will be here soon but even if not we have plenty for you to use until it does.,3I0BTBYZAXL6NP0VHYRX4YYD6JQ0Y7,7,3,,1,,1,,,,1,0.1666666667,3,,,
Sir I think it would be highy suffiecient for both of our parties to come to an agreement with this matter in hand. I think it would work out better for both of us if we are each actively involved in this mission with your men and mine to finish this in a timely matter without further delay. I ask that you please reconsider and make this a joint effort between us.,3I2PTA7R3TUZRDGDUHKLAWAKL8OQK9,7,1,,1,,1,,,,1,1,3,,,
We really could use the assistance of your team to help us complete the mission satisfactorally  due ot a lack of manpower.,3IOEN3P9S7J4BUB77Y05ZCXUC1916H,7,3,,1,,1,,,,1,0.1666666667,3,,,
We could really use your help,3IUZPWIU1O74BACZ6QJR2LS699TWK7,7,3,,2,,2,,,,2,0.1666666667,3,,,
