,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.0046296631917357445,0.8796287178993225
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.004115239717066288,0.8930037617683411,0.004115239717066288
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.9259255528450012,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255,0.0028490175027400255
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.9398145079612732,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985,0.00231482507660985
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9465018510818481,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937
5,"No, he is not here. I am taking his place.",0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.6790115833282471,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543,0.012345708906650543
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.8930038213729858,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139,0.004115237854421139
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.893003523349762,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595,0.0041152480989694595
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.925925612449646,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453,0.0028490149416029453
9,Can you explain to me why we are setting up two individual aid stations?,0.5471808314323425,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.005291035398840904,0.3205432891845703,0.005291035398840904
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.003086439333856106,0.003086439333856106,0.2666971683502197,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.6561418175697327,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106,0.003086439333856106
11,It won't take long.,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.7592563033103943,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794,0.009259373880922794
12,Why does it have to be in private? We don't have a ton of time. ,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.7592572569847107,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981,0.00925933662801981
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.8624328970909119,0.005291042383760214,0.005291042383760214,0.005291042383760214,0.005291042383760214
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.003367015393450856,0.9124575853347778
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.9465018510818481,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937,0.002057621954008937
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.9037030935287476,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927,0.0037037255242466927
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.004629660397768021,0.8796288371086121,0.004629660397768021,0.004629660397768021
18,"No, he is not here. I am taking his place.",0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.6790117025375366,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245,0.012345705181360245
