,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16
0,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.00781257450580597,0.007812576368451118,0.00781257450580597,0.00781257450580597,0.00781257450580597,0.00781257450580597,0.007812576368451118,0.007812578231096268,0.007812581025063992,0.00781257450580597,0.007812590338289738,0.46933627128601074,0.007812579162418842,0.4212876260280609,0.007812576368451118,0.007812575437128544
1,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.006944496184587479,0.006944496184587479,0.006944502703845501,0.006944495253264904,0.006944496184587479,0.006944494787603617,0.006944498047232628,0.006944501306861639,0.006944495253264904,0.006944500375539064,0.006944498047232628,0.006944495253264904,0.8958324790000916,0.00694450456649065,0.006944494787603617,0.006944495253264904
2,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.004807730671018362,0.004807732068002224,0.004807730205357075,0.004807732533663511,0.004807729739695787,0.004807734861969948,0.004807730205357075,0.004807730671018362,0.004807734861969948,0.004807731136679649,0.004807730671018362,0.927884042263031,0.004807730205357075,0.004807729739695787,0.004807730671018362,0.004807730671018362
3,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.003906278405338526,0.0039062825962901115,0.0039062793366611,0.003906278870999813,0.0039062779396772385,0.003906280267983675,0.0039062779396772385,0.9414058327674866,0.0039062793366611,0.003906278870999813,0.003906279802322388,0.003906278870999813,0.003906278405338526,0.003906278405338526,0.0039062793366611,0.003906278870999813
4,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.7802771329879761,0.003472245065495372,0.003472245065495372,0.0034722480922937393,0.003472245065495372,0.003472245065495372,0.17111138999462128,0.003472245065495372,0.0034722445998340845,0.0034722471609711647,0.003472245065495372,0.003472245065495372,0.003472245065495372,0.0034722445998340845,0.003472245065495372,0.003472245531156659
5,"No, he is not here. I am taking his place.",0.020833373069763184,0.020833369344472885,0.020833374932408333,0.020833369344472885,0.020833369344472885,0.020833369344472885,0.687499463558197,0.020833369344472885,0.020833369344472885,0.020833369344472885,0.020833373069763184,0.020833373069763184,0.020833373069763184,0.020833376795053482,0.020833369344472885,0.020833369344472885
6,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.006944463588297367,0.00694446312263608,0.00694446312263608,0.00694446312263608,0.00694446312263608,0.006944463588297367,0.006944464519619942,0.006944462191313505,0.006944463588297367,0.00694446312263608,0.006944464519619942,0.00694446312263608,0.00694446312263608,0.006944464519619942,0.006944464519619942,0.8958330750465393
7,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.006944485008716583,0.006944485008716583,0.006944483611732721,0.006944484077394009,0.006944483611732721,0.006944488268345594,0.006944485008716583,0.006944483611732721,0.8958327770233154,0.006944484077394009,0.006944485940039158,0.006944485008716583,0.006944484077394009,0.006944485008716583,0.006944485008716583,0.006944490130990744
8,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.0048077222891151905,0.004807721823453903,0.004807721357792616,0.9278841018676758,0.0048077283427119255,0.004807721823453903,0.004807721357792616,0.0048077222891151905,0.004807721823453903,0.00480772415176034,0.004807723686099052,0.0048077222891151905,0.004807723220437765,0.0048077222891151905,0.004807725548744202,0.004807721357792616
9,Can you explain to me why we are setting up two individual aid stations?,0.008928639814257622,0.008928637020289898,0.008928637020289898,0.008928636088967323,0.008928637951612473,0.008928637020289898,0.47628211975097656,0.008928638882935047,0.008928641676902771,0.008928637020289898,0.008928638882935047,0.008928637951612473,0.3987169563770294,0.008928639814257622,0.008928637020289898,0.008928637951612473
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.00520836329087615,0.0052083637565374374,0.005208362825214863,0.0052083637565374374,0.00520836329087615,0.0052083637565374374,0.005208364687860012,0.005208364687860012,0.9218745827674866,0.00520836329087615,0.0052083637565374374,0.005208367481827736,0.005208365619182587,0.005208364687860012,0.00520836329087615,0.0052083637565374374
11,It won't take long.,0.015625065192580223,0.015625061467289925,0.015625063329935074,0.015625063329935074,0.01562507078051567,0.015625061467289925,0.7656240463256836,0.015625061467289925,0.015625061467289925,0.015625063329935074,0.015625067055225372,0.015625059604644775,0.015625065192580223,0.015625059604644775,0.015625067055225372,0.015625067055225372
12,Why does it have to be in private? We don't have a ton of time. ,0.015625111758708954,0.015625109896063805,0.015625109896063805,0.015625111758708954,0.7656232714653015,0.015625109896063805,0.015625109896063805,0.01562511920928955,0.015625108033418655,0.015625113621354103,0.0156251210719347,0.015625106170773506,0.015625115483999252,0.015625115483999252,0.015625111758708954,0.015625113621354103
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.008928604423999786,0.008928604423999786,0.008928603492677212,0.008928605355322361,0.008928604423999786,0.008928604423999786,0.008928604423999786,0.008928605355322361,0.008928603492677212,0.008928604423999786,0.008928604423999786,0.008928604423999786,0.008928604423999786,0.008928603492677212,0.8660709261894226,0.008928603492677212
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.00568184070289135,0.00568184070289135,0.00568184070289135,0.005681842565536499,0.9147723913192749,0.005681842099875212,0.005681839771568775,0.005681843962520361,0.00568184070289135,0.005681841168552637,0.005681841168552637,0.005681841168552637,0.00568184070289135,0.005681842565536499,0.005681841168552637,0.005681839771568775
